"j","EQD","Wadsworth","Northrop","j.1","EQD.1","Wadsworth.1","Northrop.1"
0,0.21428181740116,0.248941706360628,0.224969002107882,0,0.186809986462592,0.213760671293124,0.171748139273239
1,0.430043217627799,0.537467662328557,0.46071042929493,1,0.36820783690021,0.421616477275283,0.33079549480201
2,0.702712727155838,0.89633963551545,0.764683728221366,2,0.593886914578871,0.671806129772407,0.532873479325261
